building,Original,After,Potential Energy Saving
DC0011ZZ,7107598.827000013,6287737.843956688,11.53
DC0078ZZ,531089.3429999998,442532.6052218214,16.67
PA0000AT,3657204.9469999587,3562468.3547157333,2.59
PA0144ZZ,2748744.014999932,2627257.491073414,4.42
WV0054FP,1145047.8539999982,1069296.0213322,6.62
