unoccupied,occupied,building
0.00018264778108230599,0.00019009210716063694,DC0010ZZ
0.00020138467381903557,0.00014994818213340987,DC0021ZZ
0.0003564897013130439,0.0022311576994075316,DC0078ZZ
0.0002133201172429844,0.000811970093270529,DC0313ZZ
0.00025511792613808963,3.0496138943763952e-05,DC0459AF
0.0005328720051644634,0.00022671992880811552,DC0463ZZ
0.00013421281451179794,0.0005845095616021784,DC0501BC
0.0005757893226044911,0.0001758751907279864,DC0505ZZ
0.0005598537456289721,0.0001310952169306449,MD0000HC
0.00027355484550451765,0.0005870872864076322,MD0205ZZ
0.0008100572924467571,0.0002757578721842076,MD0334ZZ
0.0001932274690852528,4.7697833817935807e-05,MD0778AG
0.0003823089842266493,6.797447040361345e-05,MO0000AF
0.0002141536690429655,9.814726744975716e-05,MO0127ZZ
0.0002644563864264929,0.0004472640597811977,NC0002AE
8.387843978784633e-05,0.0007792989301323157,NJ0056ZZ
0.000605266784641703,0.0002548686087961142,PA0000AT
0.0001725160573634573,0.00021510401126199986,PA0144ZZ
0.00012620093914581293,0.0003336712648088614,VA0088ZZ
0.0002432425466539295,0.0005214609553600985,WV0054FP
0.0007221488047682484,0.0007204425897797888,WV0226ZZ
