building,balancePoint,slope1,slope2,intercept1,intercept2
DC0010ZZ,14.155197193548156,2.1503738404982114e-07,1.3822398812145422e-05,0.00041926602902160994,0.00022665114472303566
DC0011ZZ,0.7696806821263209,-8.852687437563607e-06,1.1061716101801397e-05,0.0010349103343960787,0.0010195826026957616
DC0021ZZ,12.1662792460754,1.2309888929686128e-07,7.577555714944495e-06,0.00029586940103137107,0.00020517639766272914
DC0078ZZ,4.9399362325287814,2.0943402162844216e-06,1.838159246977428e-05,0.00065448550126756,0.0005740275137322094
DC0313ZZ,14.914956795382384,-3.6653996922835166e-06,1.993178749594176e-05,0.0004336662978281273,8.171527042319658e-05
DC0459AF,10.8923439166187,-3.099049860308964e-06,7.3321033462103764e-06,0.0003551819076786357,0.00024156219950628708
DC0463ZZ,15.881785249061561,-4.925733374786824e-07,8.951914385806368e-06,0.0006568604283999453,0.0005068651025913338
DC0501BC,15.02368604359745,2.138598620691965e-06,1.5582827871897762e-05,0.0004016864301332586,0.0001997045507649935
DC0505ZZ,11.812131133784893,-3.4140263645024944e-06,1.561211192921333e-05,0.000766371498946532,0.0005416322584516345
MD0000HC,30.887508908124232,1.9371216314525827e-06,-4.8596559987966635e-05,0.0007677846240828429,0.0023286441652629677
MD0334ZZ,13.688327272991533,3.709594289287981e-06,2.2765738265274634e-05,0.0010507774113982615,0.0007899306760937102
MD0778AG,16.86118268527714,2.1593163165853516e-06,7.163892772191732e-06,0.0003541751981097422,0.00026979212022932626
MO0000AF,10.828031391948944,-1.854081131613698e-06,3.434942197717125e-06,0.0004280695753557043,0.00037079986471295987
MO0127ZZ,33.97886140225564,3.0491242051844387e-06,-0.00011242567550340398,0.00034921082229113967,0.0042729130370424955
NC0002AE,11.013767938503628,-6.390083756553144e-07,9.953742378920063e-06,0.00034470955659668417,0.00022804345795538177
PA0000AT,10.325454262788385,-7.984157216261282e-06,2.1220705212962984e-05,0.0008339498253973749,0.0005323963541333928
PA0144ZZ,9.861874630740658,6.444736222406702e-07,9.902720697256074e-06,0.00035634881361536885,0.00026504514166114554
VA0088ZZ,16.079149147947607,1.809377391180198e-06,5.90246322467825e-06,0.00024698347292863364,0.000181170135336467
WV0054FP,8.188778562639184,2.7711949486710404e-06,1.1414593305899444e-05,0.0003827026149584687,0.000311923739782446
WV0226ZZ,13.78890344236904,-2.5489179889543335e-07,9.665237761010297e-06,0.0009339695214540955,0.0007971818128167645
