,CT0013ZZ,CT0024ZZ,CT0053ZZ,CT0059ZZ,CT0061ZZ,IA0027ZZ,IA0030ZZ,IA0087ZZ,IA0112ZZ,IA0119ZZ,IA0121ZZ,IL0032ZZ,IL0054ZZ,IL0154ZZ,IL0173ZZ,IL0205ZZ,IL0214ZZ,IL0236FC,IL0302ZZ,IL0303ZZ,IL0311ZZ,IL2125ZZ,IN0031ZZ,IN0048ZZ,IN0096ZZ,IN0133ZZ,IN0300ZZ,IN1703ZZ,MA0011ZZ,MA0013ZZ,MA0050ZZ,MA0051ZZ,MA0076ZZ,MA0113ZZ,MA0131ZZ,MA0153ZZ,MA0158ZZ,MI0000BC,MI0000MC,MI0029ZZ,MI0072ZZ,MI0073ZZ,MI0118ZZ,MI0137ZZ,NE0036ZZ,NE0051ZZ,NE0056ZZ,NE0531ZZ,NJ0000FB,NJ0145ZZ,NY0281ZZ,NY0300ZZ,NY0304ZZ,NY0371ZZ,OH0033ZZ,OH0046ZZ,OH0192ZZ,OH0194ZZ,OH0195ZZ,OH0215ZZ,OH0301ZZ,OH0302ZZ,PA0000ER,PA0000NC,PA0158ZZ,PA0233ZZ,PA0267ZZ,RI0009ZZ,RI0010ZZ
Mon-00:00,0.00010218302160635468,0.00012117228765320251,6.638648166967108e-05,0.00017402882178035452,0.00014980944212834117,0.0001008190041017008,0.00014457516816007381,0.00011178329918184263,0.00011148670329616082,9.030231287561463e-05,5.3093681917211325e-05,0.00037721231394309627,0.00029684631488122854,0.0001778975967968507,,0.00013624935516184412,,0.00014241103302487716,0.00016719568477012055,0.00011983909913623147,0.00016521389362104865,0.00017337656414551425,7.506382828869755e-05,7.558657531820458e-05,8.21222996891517e-05,7.512622966124088e-05,,0.00029598720425191795,0.00013856568227527355,0.00010116860930575605,0.00031687935850800865,0.00017229562141918577,0.00014236069502696224,0.00013992969928963155,0.00015130447476149864,0.00016262469123934505,0.00014324506115941308,7.126590930441233e-05,0.00018031684807851532,0.00010219133183487605,0.0001412770236299648,0.00014702937022799875,0.00011052149933361585,0.00010066677748840989,6.132616457928878e-05,0.0001733861002960856,0.00011276245368464388,0.00014148671648765446,0.00011193821010802036,0.00014108144491810636,0.00014017502863454144,0.00012100941859350829,0.0001794942599319725,0.00019894569460739888,0.00021015516464880737,8.876937107629659e-05,0.0002535782521579442,4.511866311798116e-05,0.00018805162364696088,0.0001234711262553802,0.0002041803286174867,0.0001324681826058494,0.00012050773927481121,0.00014255019055907332,0.0001454929908751646,0.00018658267054080137,0.0001801295092344503,0.0001194937465743186,0.00010096623078305832
Mon-00:15,0.00010277476186745166,0.00012376711509204974,6.893980788773535e-05,0.00018274201612125145,0.00016141283562987283,9.988376287626759e-05,0.00014194045797819382,0.0001152250598020692,0.00011466710108654334,9.4387786074182e-05,5.1859477124183e-05,0.0003721739270883059,0.00029865772072459337,0.0001813085134123466,,0.00013792064601182954,,0.00014160798532849886,0.00016862695460829943,0.00012161464320558073,0.00016408763959871288,0.0001768531340956772,7.267973165707042e-05,0.00010475043327869534,8.564753527687074e-05,7.669193633373051e-05,,0.0002879925721537682,0.00013863527901189677,0.00010185673850964175,0.0003618407390287854,0.0001779756968505875,0.0001310964649490713,0.0001380415179064375,0.00015190208279947014,0.00017016507484698252,0.00014116904578029114,7.342548231363696e-05,0.00018144691936428442,0.00010677652474505714,0.00016138763197586729,0.00014973605310656808,0.00011307648370276197,0.00010132505864317247,6.041084869004567e-05,0.00017389783880819711,0.00014267416861076803,0.00016037082641217262,0.00011193821010802036,0.0001413058110836886,0.00013957868874253456,0.00010826362935279113,0.00017660927263229672,0.00019845507492781216,0.00016573292081277697,9.031057349697416e-05,0.00025897353411875147,4.618184803164771e-05,0.00018614646524721463,0.0001418176111908178,0.00020551575305020856,0.00013345014151760787,0.00011604448967204041,0.00013674505763453334,0.00014872616845016827,0.0001831902583491505,0.00018596498911135087,0.00012052917434849767,0.00010252855924361587
Mon-00:30,0.00010316129585893747,0.00012344746243653955,7.149313410579963e-05,0.00018392084974256872,0.00016616589610478127,0.00010645717263216963,0.00014320317622204415,0.00010943261216029616,0.00011071782948032522,9.982395434954168e-05,4.6893246187363836e-05,0.0003751852941915431,0.0002978003193723046,0.00017933177998536375,,0.00013639179956928906,,0.00014282436897145495,0.00016784803224738573,0.00012231271017950805,0.00018086630071297873,0.00017973472755466733,7.61607944641065e-05,0.0001359022226880809,7.843036311397444e-05,7.292522108980778e-05,,0.0002857106717767743,0.00014476575726930812,0.00010129720802102967,0.00031924444242300524,0.00017229562141918577,0.00016476932294787297,0.00013946225477566343,0.0001498204944816077,0.00017061524700266235,0.000145321076538535,6.910633629518771e-05,0.0001808689593893253,0.00010677652474505714,0.00013712437637777004,0.00014864250489000325,0.00011387184542344568,0.00010050276130843538,6.132616457928878e-05,0.00017715594619168627,0.00015319518777732034,0.000165338713363326,0.00011193821010802038,0.00014048313514322043,0.00013908269757833592,0.00012324599230632334,0.00017488366343542771,0.00020226528122226363,0.00015272355988222916,8.923067134211865e-05,0.00024998139751740596,4.6389433504768946e-05,0.00019208001268783948,0.00018549736967957915,0.00020921866906395035,0.0001386808376815501,0.00011505265642698025,0.00013647697452877057,0.00014872616845016827,0.00018827887663662684,0.0001846601427667122,0.00011973292142109719,0.00010177936544129446
Mon-00:45,0.00010206959850460596,0.00012460812635681443,6.638648166967108e-05,0.00018219645472805258,0.00015651304654042326,0.00010469357489278128,0.00014369490784585124,0.00011914434992415708,0.0001154890432395875,9.569902264311296e-05,4.609586056644881e-05,0.0003760000502492723,0.0002965568934292795,0.00018444184618490446,,0.0001371869293694097,,0.00014126756356950531,0.0001671762117110977,0.00012000319252472718,0.00019262414032431065,0.00017654839003922282,7.286109203599035e-05,0.00013666486548029327,7.794742054736759e-05,7.575441111548887e-05,,0.0002865674761284369,0.00014197166134512028,0.00010146615143129108,0.0003187925802367412,0.00017229562141918577,,0.00013740614303065995,0.00015039802288950338,0.00017061524700266235,0.0001370170150220473,7.126590930441233e-05,0.0001800563420101375,0.00010677652474505714,0.00012922516146498048,0.00014211142410488396,0.0001125145099773368,9.949280582183558e-05,5.674958513307321e-05,0.0001738791877462523,0.0001428388454325054,0.00015718510281974058,0.00011193821010802038,0.00014383865579737243,0.00013936201219013337,0.00010635960409051706,0.00017578185747724108,0.0001988918318263464,0.00014931718459121297,9.013736496804478e-05,0.00024638454287686775,4.6885902183830744e-05,0.00018678283969707785,0.00019284657460545194,0.00020322198055120998,0.00013157479253711227,0.0001091016569566192,0.0001360775173637161,0.0001454929908751646,0.00017301302177419764,0.00017103871475455086,0.00012029498231102695,0.00010148620264908174
Mon-01:00,0.00010203527309223461,0.00012429702056375105,6.893980788773535e-05,0.00018222803062862357,0.00015442968954118436,0.00010406562721284754,0.00014207401471552414,0.00011042315323226857,0.00011199270372070751,9.602076124567472e-05,4.680174291938998e-05,0.0003790473096898543,0.0002983884734221099,0.0001785494982461748,,0.00013693530601494112,,0.0001422313141353194,0.0001665725468813896,0.00011868091549220271,0.00017730771657517827,0.00017935535230071396,7.658954448611625e-05,0.0001375838319728051,8.064650565312466e-05,7.364201252248874e-05,,0.0002849779459463366,0.00014112371743156793,0.00010227632333751489,0.00031562827565708823,0.00017040226294205187,0.00013852606351108447,0.00014042474879458205,0.00015173268084097316,0.00017481685378900762,0.00014947310729677887,7.450526881824926e-05,0.00017494106639202463,0.00010677652474505714,0.00014164926325559808,0.0001506785587517842,0.00011125237226613603,0.00010116769176779152,6.132616457928878e-05,0.00017684470659548178,0.00011952792644435296,0.0001605680865989274,0.00011053898248167013,0.00014771769750454965,0.00014105260062995993,0.00011334825523293221,0.00017563930281799657,0.00019871267953284577,0.00015170399449581393,8.9223601606244e-05,0.0002517798248376751,4.80145988627789e-05,0.0001880456762221958,0.00018973054160688666,0.0002037073522062882,0.0001307622696728729,0.00011505265642698025,0.00013489181646310355,0.00015357593481267375,0.0001509623425284666,0.00017835786431190506,0.00012084109821117147,0.00010127869647516984
Mon-01:15,0.00010432835987956257,0.00012001162373292764,6.638648166967108e-05,0.00017183780512406699,0.00015355954152514455,0.00010039146525578848,0.00014339136980646416,0.00011941046543603026,0.0001132786852874823,9.333151217143205e-05,4.8152505446623096e-05,0.00036833613891770246,0.0002976548327175045,0.00017887334606293581,,0.00013681572094952928,,0.00013991007639073603,0.00016519969622027922,0.00011913328909860017,0.00013945674805981452,0.00017736933321171213,7.69461025126336e-05,0.00013783684142993716,7.791555124094176e-05,7.702659723441929e-05,,0.000289335451100715,0.0001410721116880854,0.00010118247779465812,0.0003170913275672954,0.0001798690553277214,0.00014236069502696224,0.00014179533659685673,0.00015216104628259114,0.00017612985590974046,0.0001390930304011692,7.018612279980003e-05,0.000179658447599238,0.00010297802190684086,0.00016767703136481415,0.00014852771253577823,0.0001108685104318292,0.00010070297925786372,6.132616457928878e-05,0.0001739969225747791,0.00011970175197840902,0.00015890643955026953,0.00011193821010802036,0.0001446563458230499,0.00013992831138018492,0.00010774569797527619,0.00017917625338442707,0.00019835671680589023,0.0001480350261052749,8.88170917934506e-05,0.0002517798248376751,4.79009398965072e-05,0.00018570239086475557,0.00018093167144906741,0.0002057669198340864,0.00013563869046472973,0.0001130689899368599,0.00013756197754637273,0.00014710957966266645,0.0001509623425284666,0.0001864646327917541,0.00012094773033036027,0.00010147172547415764
Mon-01:30,0.00010246284833764266,0.00012479444795815458,7.149313410579963e-05,0.00017119751602915508,0.0001558414081403142,0.00010399882426817374,0.0001429178504650203,0.00011170050768925989,0.00011371310516416628,9.424512839191405e-05,4.6239651416122e-05,0.00037220264095818185,0.000297801483265543,0.00018331889336574615,,0.00013668504739731036,,0.00013983844549285323,0.00016593967246314722,0.00011905288036013586,0.00013973279071234778,0.0001807650526979178,7.605162608067897e-05,0.0001373886532487318,8.043322644858256e-05,7.483429142872514e-05,,0.0002901229883167423,0.00014630540752440146,0.00010212528288565432,0.0003187261548029925,0.00017229562141918577,0.0001310964649490713,0.00014654569546173948,0.0001497806539457429,0.0001703151322322091,0.00014324506115941308,7.342548231363694e-05,0.0001776102102223389,0.00010297802190684086,0.0001504524886877828,0.0001431823159357465,0.00011222891677261255,0.00010027520732901128,5.949553280080255e-05,0.00017561723358123702,0.000111998536206029,0.00015408237630876732,0.00011193821010802036,0.00015363099244633906,0.0001383099484578254,0.00012188813366736484,0.00017736192135767859,0.00021456824297266344,0.00014735287084673805,8.959299530569538e-05,0.0002517798248376751,5.231785361356583e-05,0.0001932576027913247,0.00018549363342898137,0.00020315869956929789,0.00014834960304471444,0.00011505265642698025,0.0001374912889662462,0.00015357593481267375,0.00015605096081594297,0.00018657710238515163,0.00012138322786386966,0.00010171180529164872
Mon-01:45,0.00010157486484368878,0.0001253944377019196,6.893980788773535e-05,0.00017196937137644615,0.00015658006838500076,0.00010846126097238367,0.00014400451664602608,0.00011229778917146414,0.00011120408354684083,9.056638135130214e-05,4.696732026143791e-05,0.00037046096528852053,0.00029888235211960473,0.00017874296577307102,,0.00013525838562549982,,0.0001411876496199129,0.00016686464276673222,0.0001181389010329247,0.00014542242412770524,0.00018226389591435656,7.796031201028296e-05,0.0001377600349875935,7.813863638592259e-05,7.494188925967946e-05,,0.0002917890135095007,0.0001386793096003727,0.00010084912975232139,0.00031866734502406863,0.00017040226294205187,0.0001348112642300779,0.0001422554197798962,0.00015073682680649737,0.00016993998876914257,0.00014116904578029114,7.126590930441233e-05,0.00017948908499767764,0.00010297802190684086,0.00013065127431643268,0.000149868970569355,0.00011099134621880739,9.969228495964241e-05,5.858021691155943e-05,0.00017557876576597582,0.00013941722702529618,0.00015734143293892668,0.00011193821010802036,0.0001509934435220502,0.00013854388243475415,0.00012071679877339248,0.00018189376388163378,0.00023964253848261522,0.00014796020907691923,8.923597364402465e-05,0.00024998139751740596,5.782399909072826e-05,0.00018739344197295902,0.00018213474414155906,0.0002018350179991989,0.00013523756345829244,0.000124970988877582,0.0001370451506633723,0.00014872616845016827,0.00015096234252846656,0.0001848144152178327,0.00012053017091035927,0.00010360771199108207
Mon-02:00,0.00010200467870294715,0.0001275721782533632,6.893980788773535e-05,0.00017349027725394915,0.00015588258681600799,0.00010724544737932047,0.0001424443311235764,0.00011298673266331361,0.00011362054411089554,9.066047471620226e-05,4.569063180827887e-05,0.0003690773156838747,0.0002958558417353493,0.0001790710194056341,,0.00013520686680987306,,0.0001428957665439375,0.0001657352053434074,0.00011876072861038213,0.0001403432393210928,0.0001802778768253547,7.44391914496505e-05,0.0001372061249975151,7.856029182478745e-05,7.376464240335578e-05,,0.00029347732465024614,0.0001375032667855966,0.00010415991628475788,0.00030423483294743825,0.0001779756968505875,0.00013852606351108447,0.0001463027715410946,0.0001493722087720573,0.00017331627993674142,0.00014947310729677887,7.126590930441233e-05,0.0001780259429040705,0.00010297802190684086,0.00013172448466566115,0.00014533467257746594,0.00011060748438450059,0.00010156886647826971,5.949553280080255e-05,0.00017594013009115706,0.00015848771785371212,0.00015253499236540544,0.00011193821010802036,0.00014983172537581333,0.00013734864599525485,0.00010826134771676684,0.00017984316993711647,0.00021871567711370435,0.00014330981731442075,8.772305016684576e-05,0.0002553766794782133,6.0138221931760423e-05,0.00018638039728797432,0.00014947991391678624,0.00020675592981943394,0.00013162870400677744,0.00012050773927481118,0.00013741793289253002,0.00015195934602517193,0.00015265854862429203,0.0001806590120989414,0.0001206079027355623,9.96216631619839e-05
Mon-02:15,9.813871695090843e-05,0.00012309191295875282,6.638648166967108e-05,0.0001729587495943374,0.00016586656973111745,9.588894678477427e-05,0.00014168548602510868,0.00011189270222561273,0.00011003287768612177,9.120985855642565e-05,4.5119825708061e-05,0.00037904461776455347,0.00029822552836873375,0.00017989115348704187,,0.00013575395568972437,,0.00014484450028699026,0.0001668938523552665,0.00011780505586322652,0.00013726102593223546,0.0001856824193775758,7.678543130315357e-05,0.0001371790168413938,8.170799870561587e-05,7.383822033187601e-05,,0.0002927412860437563,0.0001373768563864238,0.0001059887917394237,0.00034163668884020984,0.00016661554598778404,,0.00014710331627958335,0.00014856535823972402,0.0001740665668628745,0.0001370170150220473,7.126590930441233e-05,0.00017774456942453064,0.00010367953310316683,0.00013022102332057084,0.00015110751965441457,0.00011334365153943951,0.00010018211706470142,5.949553280080255e-05,0.00018010514536171405,0.00015199670646356525,0.00016007351494913872,0.00011193821010802038,0.00014737366938399023,0.0001400938548228749,0.00011235574356236395,0.0001785123274889246,0.00020206153939828248,0.00014387901353014613,8.868276681183192e-05,0.00023919083359579134,6.599086939637618e-05,0.0001917410094762301,0.00020955135102821617,0.00020843254964947555,0.00014199896027879933,0.00012199548914240146,0.00013774803522425286,0.00014710957966266645,0.00015265854862429203,0.00017201942306748042,0.00012027206138821068,0.00010192051789680429
