,CT0013ZZ,CT0024ZZ,CT0053ZZ,CT0059ZZ,CT0061ZZ,IA0027ZZ,IA0030ZZ,IA0087ZZ,IA0112ZZ,IA0119ZZ,IA0121ZZ,IL0032ZZ,IL0054ZZ,IL0154ZZ,IL0173ZZ,IL0205ZZ,IL0214ZZ,IL0236FC,IL0302ZZ,IL0303ZZ,IL0311ZZ,IL2125ZZ,IN0031ZZ,IN0048ZZ,IN0096ZZ,IN0133ZZ,IN0300ZZ,IN1703ZZ,MA0011ZZ,MA0013ZZ,MA0050ZZ,MA0051ZZ,MA0076ZZ,MA0113ZZ,MA0131ZZ,MA0153ZZ,MA0158ZZ,MI0000BC,MI0000MC,MI0029ZZ,MI0072ZZ,MI0073ZZ,MI0118ZZ,MI0137ZZ,NE0036ZZ,NE0051ZZ,NE0056ZZ,NE0531ZZ,NJ0000FB,NJ0145ZZ,NY0281ZZ,NY0300ZZ,NY0304ZZ,NY0371ZZ,OH0033ZZ,OH0046ZZ,OH0192ZZ,OH0194ZZ,OH0195ZZ,OH0215ZZ,OH0301ZZ,OH0302ZZ,PA0000ER,PA0000NC,PA0158ZZ,PA0233ZZ,PA0267ZZ,RI0009ZZ,RI0010ZZ
Mon-00:00,0.0001330634559969356,0.00012388997623972238,7.915311275999243e-05,0.00025473090315846717,0.00014861242062455275,0.0001134509955865521,0.00013676099525156127,0.00011806362526204987,0.00010872714976131592,9.982698961937716e-05,5.4726797385620915e-05,0.0005530117003892268,0.0003576870492823435,0.00018308925582295198,,0.00019364114517797534,,0.000163727495765144,0.00017208042672961957,0.00012465090269657723,0.00017560132230064088,0.00021613333001639122,8.211032462920901e-05,7.784842823038215e-05,9.152926092626913e-05,7.681025878509038e-05,,0.0003228567138178947,0.00015314217429674155,0.00010589347739751502,0.00042915801531804345,0.0001741889798963197,0.00015725983622927903,0.00015759689351834812,0.0001590266542746664,0.0001654382672123441,0.00011833287660994993,8.584302711667848e-05,0.00018125876385372737,0.0001081347445605353,0.00016965425223343774,0.00018717698916773023,0.00011806423083301091,0.00011048927799634287,6.452977019163968e-05,0.00018182891147739723,0.00010297104432551118,0.00017016974040104645,0.0001147531062853305,0.00014251140528008375,0.0002607558496277509,0.00020031999945240735,0.00016975457559473096,0.000210522826109866,0.000297541453768211,9.764618193864279e-05,0.00025852392728868424,4.4555043361624224e-05,0.00021835375282502675,0.00020326765684100688,0.00024028535446120772,0.0001281071297918632,0.00011673114345708209,0.0001986354658833127,0.00015923399556893014,0.00021338272685484378,0.0001894773339838413,0.00010671981663261745,0.00010785696390317507
Mon-00:15,0.00013279299827916922,0.00012330665287772858,7.769406920681285e-05,0.00025007674698055457,0.0001467794624296311,0.00011071474697271324,0.00013715614659010885,0.00011629469631784836,0.00010928375022831726,8.839919868876343e-05,5.67534165181224e-05,0.0005295896429071357,0.0003547515553493309,0.00018285709479067656,,0.00020071841453062604,,0.00016553352186025674,0.00017240248116730505,0.00012638585949793974,0.0001930247965171304,0.00020635526108480593,8.118958322328457e-05,0.00011796812376565477,9.178850547661774e-05,7.741203625586593e-05,,0.00032376154183918,0.0001543706750599384,0.00010979531371152283,0.00047182877610433155,0.0001768937777207967,0.00014658906102884534,0.00015588669860082133,0.0001587038503168757,0.00016543826721234411,0.00011210483047258414,8.368345410745387e-05,0.00018295677141372734,0.00011001548117967886,0.0001439890551881502,0.00017936053610043327,0.00011522672415381495,0.00010992461482847696,6.636040197012591e-05,0.00018509663581470171,0.00010518903526828598,0.00018493121190519234,0.00011123859629484524,0.00014264004188168424,0.0002603848505095131,0.00017384355278108617,0.00016600406995213618,0.000216287051153249,0.00020854293103777084,9.977770730485508e-05,0.00024720200984062644,4.516450313910036e-05,0.00018593196146068756,0.00023335398460936482,0.00023727454247415158,0.00013074012746211756,0.00012114534636092133,0.00016595922513757043,0.00016004228996268106,0.00021100803832068812,0.00019238905684428598,0.00010709851014001695,0.00010710334651962682
Mon-00:30,0.0001330408211235603,0.0001227350814515991,7.878835187169754e-05,0.0002211515931420151,0.0001469378211463386,0.00011420186068468566,0.00013765284520001503,0.00011991697196029557,0.00010848258288945167,9.545620105627391e-05,5.546286393345217e-05,0.0005542653684579164,0.00035411963891376176,0.0001833432870973983,,0.00022656925971214971,,0.000168917819294144,0.00017081168203790056,0.00012607443517753824,0.00019028284794894671,0.00020336527469611482,8.17250205290985e-05,0.0001916582781983558,9.269310348208945e-05,7.649098156121289e-05,,0.00032350323797217885,0.00015335901310880573,0.00011146629852132491,0.0005018846982808012,0.000179328095762826,0.00014653984421809466,0.0001513581655563326,0.00016061026776664793,0.00016693884106461026,0.00011833287660994993,8.292760355422526e-05,0.00018271297151323,0.00011001548117967886,0.0001320113186629024,0.00018569299590422895,0.00011675029736496766,0.00011051883046120316,6.727571785936904e-05,0.00018259656087739922,9.463820110176635e-05,0.00019972593908923779,0.00011543627917389601,0.00014536683868072693,0.00025975449289590666,0.00011013585431297659,0.00016523403110903757,0.00020947703923318133,0.0001883320643778524,9.853267631921272e-05,0.00024376864859284003,4.515175293455064e-05,0.0001855727370048769,0.00023469495891482978,0.0002351789489036153,0.00013278828195698635,0.00012114534636092133,0.00017581950404625432,0.00015963814276580558,0.00020490169637571646,0.00019027864590590775,0.00010594748118989486,0.00010574369850800649
Mon-00:45,0.00013367866024764874,0.0001251730739645476,7.915311275999243e-05,0.00024006894071624667,0.00027577703958183564,0.00011359618065297653,0.00013685812742416514,0.00011801261978894083,0.00011022005670495812,8.710617373884539e-05,5.551895424836601e-05,0.0005534090798384025,0.0003556255615784875,0.0001832288889075814,,0.0002396877925654596,,0.00016898606697372288,0.0001740801600985037,0.00012354662268833385,0.00018163651604878183,0.00019900586506442567,8.292003905019594e-05,0.0002175221699536812,9.13496896419851e-05,7.582498263402655e-05,,0.0003235803816382877,0.00015311944883172172,0.00011217716364186519,0.0005825093794193275,0.0001760823383734536,0.00014373876572798083,0.00015462820677978578,0.00015946286033374256,0.00016693884106461023,0.00012144689967863282,8.163185974869049e-05,0.00018088087400795655,0.00011001548117967886,0.00015940219282979464,0.00018487736601894577,0.00011587898218266908,0.00011093872173275954,6.498742813626123e-05,0.00018406771889741135,0.0001432932314776695,0.00020093081795329195,0.00011333743773437063,0.0001493194226310672,0.0002569410355704637,0.00011434632839130972,0.00016455349045138543,0.00021458307475295327,0.00018802790626257647,9.724648937115708e-05,0.0002413162477015639,4.4994743272809935e-05,0.00018650172475318183,0.00023345384439806964,0.0002338435969576998,0.0001304994512582552,0.00011810445102716542,0.0001756616773421983,0.000160788407864605,0.0002021877666223957,0.00019142958172893001,0.0001070068264487518,0.0001071600487880795
Mon-01:00,0.00013233855966755754,0.00012223936342968498,7.805883009510775e-05,0.0002191467740581423,0.00032766172017685693,0.00010815873906578946,0.00013685812742416512,0.00011705164710717652,0.0001087703449195089,8.480240393370971e-05,5.7035294117647065e-05,0.00055539751532731,0.0003542652031614444,0.00018207901886728968,,0.00019973839944443513,,0.0001684240735814982,0.00017365924243808688,0.00012282558178913102,0.0001767099997295909,0.0002123630724834775,8.143242418373155e-05,0.00021844941949389674,9.00593913125905e-05,7.747906912916098e-05,,0.0003246129021183094,0.00015306642274667546,0.00011056388015104045,0.0005998299170422489,0.000179328095762826,0.0001498245313703672,0.00015382289689404416,0.00015618337865592693,0.0001671264127961435,0.00011521885354126704,8.292760355422526e-05,0.00017920849481099083,0.00011001548117967886,0.00016904658313029354,0.00018790891629472434,0.00011454867060969542,0.00011023746636867932,6.727571785936903e-05,0.00018549471941808687,0.00011599194913315953,0.00019802161594830334,0.00011333743773437063,0.00015769052426894023,0.00025951757615424466,0.00011307231987624407,0.00016571430850024525,0.0002212724028186627,0.0001893931947800208,9.657991427440274e-05,0.00024278768823632953,4.4773254005203535e-05,0.00018411502319495658,0.0002406763564627625,0.00023846825520052966,0.0001310072780484048,0.00012080528924832926,0.00017563111231148323,0.00016116146681556694,0.00020524093759488154,0.00019046576345952492,0.00010704170611390702,0.0001054843157906166
Mon-01:15,0.00013342503358957172,0.00012610895540247176,7.878835187169754e-05,0.0001915809293255329,0.0003376632474166298,0.00011241688600300167,0.00013736674680070904,0.00011794756933048295,0.00010840894542929404,8.513931888544892e-05,5.537254901960784e-05,0.0005164638151401057,0.0003553266737948661,0.00018244660716839242,,0.00019532445058619347,,0.00017358403564278818,0.00017175837229193412,0.0001230023959251404,0.00017630168194478248,0.00020456648158919435,8.18074570649712e-05,0.00022219441126205335,9.142568568038518e-05,7.688095177473847e-05,,0.0003257686594118879,0.00015321887274118346,0.00011439402057999703,0.0006169238889341362,0.00017851665641548288,0.0001587537447573397,0.00016544591262100187,0.00015965849330105297,0.00016581341067541065,0.00011833287660994993,8.292760355422526e-05,0.00018064507838130086,0.00010974439859827309,0.000176415477433577,0.00018831673123736594,0.00011457815119857021,0.00011023931339773308,6.178382252391034e-05,0.00018431445690439,9.381481699307965e-05,0.0001949114180757898,0.00011543627917389601,0.00016930371699947644,0.0002561504608797622,0.000109798742590387,0.00017504276639777335,0.0002176756570673823,0.00018940737578539545,9.718589163508852e-05,0.0002452400891276056,4.512971329525758e-05,0.00017955394314261923,0.00023157688796139297,0.0002353305913024241,0.0001333442439879084,0.0001219954891424015,0.00017555331041511758,0.00015923399556893014,0.00021236500319734853,0.0001914245147158727,0.00010605012706163735,0.00010711179153833254
Mon-01:30,0.0001334023987161964,0.00012109408386181433,7.988263453658223e-05,0.00022100874978228918,0.00034604097798881454,0.00011242133953264659,0.0001406352444088293,0.00011519898585797657,0.000108594684609524,8.576761974139501e-05,5.79655377302436e-05,0.0005446667319565374,0.00035345544383904757,0.00018014434359832774,,0.00020265649924725015,,0.0001782275902619311,0.00017425841348494357,0.00012273742998696272,0.00017776459533273844,0.00020110856943840615,8.384219886253586e-05,0.00022434514224854325,8.851332137008599e-05,7.663433984774906e-05,,0.0003303714335475425,0.00015405782115816545,0.000113613392757707,0.0006175568344684538,0.0001713489421806188,0.00015193015492596078,0.0001624987512027889,0.00016373902472917998,0.00016581341067541065,0.00011521885354126704,8.163185974869049e-05,0.0001816334960501846,0.00010974439859827309,0.00014546189942117545,0.00018245879684522417,0.000117637785925885,0.00011075463450373408,6.590274402550437e-05,0.00018389976219896023,0.00015236417974170133,0.00018668758079424798,0.0001147366653607209,0.00017142771670032158,0.00025635328888161667,0.00011124686845455665,0.00017362858430263855,0.00021809648931760535,0.00018762594811023436,9.684098952063152e-05,0.00025582628630828054,4.522115047645694e-05,0.0001804181039609849,0.00022530813877657489,0.0002347067698472862,0.0001381529545410786,0.00011646956106278053,0.00017581616967926724,0.00016116146681556694,0.00021202576197818342,0.00019396308825759536,0.00010634411281080274,0.00010414276424765138
Mon-01:45,0.00013283188383086527,0.00012204064887779697,7.878835187169754e-05,0.00023912495285542624,0.00035960564397137876,0.00011231890835081345,0.0001416996511336134,0.0001154965513848893,0.00010833551366036592,8.587688945547259e-05,5.25516339869281e-05,0.0005162623693967575,0.0003533551938347799,0.00018146749324966566,,0.00020704120374468195,,0.0001832125582730187,0.0001717973184099798,0.00012243145133773763,0.00017240914253265188,0.00020411869440420017,8.256387230820699e-05,0.00023533780075746214,9.235479853695369e-05,7.628860269975616e-05,,0.00033031699282221044,0.00015195098117195223,0.0001140061231479789,0.0006172291497650253,0.0001760823383734536,0.00014980741247967133,0.0001595423881209151,0.00016414428265999642,0.0001665636976015437,0.00011833287660994993,8.292760355422526e-05,0.00018102972412792887,0.00010974439859827309,0.00012944512124376376,0.00019104745505854156,0.00011685163688922464,0.00011162388155794261,6.681805991474748e-05,0.00018178923633892975,0.0002133422533278441,0.00018313540519061472,0.00011193821010802036,0.00017319871363398402,0.0002557689510667503,0.00011010376880638493,0.00017348154365761363,0.00021712239263157156,0.00018699367087060128,9.641731034928536e-05,0.00025897353411875147,4.536012770604878e-05,0.0001814012132746521,0.00022114867288378765,0.0002297727379151084,0.00013071124631765406,0.00012149957251987138,0.00017555775623776706,0.00015600081799392647,0.0002089725910056976,0.00019366413448721284,0.00010621057352135133,0.000107187796706684
Mon-02:00,0.00013257941793552543,0.00012650638450624778,7.915311275999243e-05,0.0002476975905833648,0.0003533363878128791,0.00011112536240597488,0.0001628507598858003,0.00011602233112349937,0.00010929876568807006,8.701511564378072e-05,5.992394533571003e-05,0.0005446323778622216,0.000352768902014156,0.00018269895611651793,,0.00021849232062581372,,0.00018488935126205708,0.00017311399678544734,0.0001233405380697512,0.0001726274979043293,0.00020898867619655726,8.134405168370621e-05,0.0002514073651052971,9.160300976998531e-05,7.594112499861546e-05,,0.00033105877666269267,0.00015387317675487932,0.00011696158218445511,0.0006155391090318493,0.00017949038363229464,0.0001597763131615738,0.0001614957698637628,0.00020079072308341525,0.00016521318113450417,0.00011833287660994993,8.260366760284157e-05,0.00018120567128503476,0.00010974439859827309,0.00015813319410604477,0.00018878559255259427,0.00011446667772188749,0.00010999181150452831,7.531742174343355e-05,0.0001819431492318094,0.00022110803975768981,0.00018050436928471298,0.00011613589298707115,0.00016819385236706302,0.0002567515589917005,0.00011273392473339083,0.00017718148504073278,0.00021503649788881318,0.00019633418566065636,9.621456042402255e-05,0.0002567254999684151,4.441041961287465e-05,0.00018092601403592242,0.00022773330507369247,0.0002387355865422155,0.0001334116333249899,0.00011901998940722093,0.00017596454901019315,0.0001614972198714327,0.00020761562612903718,0.0001924238020766791,0.0001065852807813045,0.0001054119299159962
Mon-02:15,0.00013293809362131855,0.00012275538024991025,7.842359098340265e-05,0.00024424726561472136,0.00035392771990674996,0.00011305463144815423,0.00038571641048056147,0.00011540220133977068,0.0001093590332183108,8.63686031688217e-05,5.3623819898329695e-05,0.0005493968292709189,0.00035261681996433833,0.00018329281730777318,,0.00023327758708288282,,0.00018915404376251203,0.0001749489581164459,0.00012208973547141728,0.00017555670479435384,0.00020706958826086804,8.283855404715372e-05,0.0002559991855505094,9.135949558242382e-05,7.612103490125525e-05,,0.0003322796388860973,0.0001503715613530742,0.000120653121775839,0.0006127517793660178,0.00018013953511016915,0.00015167765128819651,0.0001649030144650153,0.00024608622511878853,0.0001661885541384772,0.00011521885354126704,8.292760355422526e-05,0.0001822881575299839,0.00011022794255769818,0.00017015169973314768,0.00018869433766573773,0.00011732260976913013,0.00010971229444105823,6.819103374861215e-05,0.00018673909495721912,0.00021019427944088298,0.0001874388180760822,0.00011263782392119551,0.00016703013985490988,0.00025729243366331235,0.00011007467794707518,0.00017442265916831377,0.0002190607111604463,0.00017205129220743975,9.696925472864336e-05,0.0002567254999684151,4.453379302070803e-05,0.0002637454136205177,0.00023888907004043306,0.00022782646716557888,0.00013394352773552572,0.00011944506079796102,0.0001759856666677781,0.0001621207612608977,0.00020897259100569756,0.0001899587002242877,0.00010633215406846381,0.00010748256807388828
